                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.79059,                0.80802,                      1,                0.87434,                      1,                  0.995,                0.74144,                0.88304,                0.85354,                 1.0516,              0.0004387,              0.0004387,              0.0004387
                     72,                0.76381,                0.90567,                 1.0534,                0.85746,                0.98546,                  0.995,                0.79256,                0.88353,                0.84689,                 1.0555,             0.00042456,             0.00042456,             0.00042456
                     73,                0.81195,                0.87694,                 1.0198,                0.85746,                0.98546,                  0.995,                0.79256,                0.88353,                0.84689,                 1.0555,             0.00041041,             0.00041041,             0.00041041
                     74,                0.79072,                0.81824,                 1.0472,                0.83687,                      1,                0.97278,                0.74634,                0.87335,                0.84929,                 1.0535,             0.00039626,             0.00039626,             0.00039626
                     75,                0.82966,                0.84584,                0.99297,                0.83687,                      1,                0.97278,                0.74634,                0.87335,                0.84929,                 1.0535,             0.00038211,             0.00038211,             0.00038211
                     76,                0.81592,                0.87129,                 1.0322,                0.81418,                0.98023,                0.96167,                0.71808,                0.90182,                0.83338,                 1.0553,             0.00036797,             0.00036797,             0.00036797
                     77,                0.76072,                0.80944,                  1.049,                0.81418,                0.98023,                0.96167,                0.71808,                0.90182,                0.83338,                 1.0553,             0.00035382,             0.00035382,             0.00035382
                     78,                0.80541,                0.87172,                 1.0007,                0.79698,                      1,                0.96167,                0.72126,                0.86229,                0.82558,                  1.041,             0.00033967,             0.00033967,             0.00033967
                     79,                0.84715,                0.85811,                 1.0354,                0.79698,                      1,                0.96167,                0.72126,                0.86229,                0.82558,                  1.041,             0.00032553,             0.00032553,             0.00032553
                     80,                0.75212,                0.80039,                 1.0163,                0.89563,                0.86812,                0.97278,                0.72836,                0.82423,                0.80408,                 1.0175,             0.00031138,             0.00031138,             0.00031138
                     81,                0.68417,                0.75648,                0.99769,                0.89563,                0.86812,                0.97278,                0.72836,                0.82423,                0.80408,                 1.0175,             0.00029723,             0.00029723,             0.00029723
                     82,                0.86758,                0.88447,                 1.0317,                0.90516,                0.86667,                0.97278,                0.73397,                0.80753,                0.81107,                 1.0022,             0.00028308,             0.00028308,             0.00028308
                     83,                0.84723,                 0.8784,                 1.0499,                0.90516,                0.86667,                0.97278,                0.73397,                0.80753,                0.81107,                 1.0022,             0.00026894,             0.00026894,             0.00026894
                     84,                0.80518,                0.84286,                 1.0333,                0.80805,                0.98381,                0.97278,                0.73302,                0.83105,                 0.7919,                0.99677,             0.00025479,             0.00025479,             0.00025479
                     85,                0.82425,                0.79413,                 1.0244,                0.80805,                0.98381,                0.97278,                0.73302,                0.83105,                 0.7919,                0.99677,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.7464,                0.77638,                0.99027,                0.96586,                0.92078,                0.98389,                0.74074,                0.86106,                0.79155,                 1.0028,              0.0002265,              0.0002265,              0.0002265
                     87,                0.74472,                0.78165,                0.99927,                0.96586,                0.92078,                0.98389,                0.74074,                0.86106,                0.79155,                 1.0028,             0.00021235,             0.00021235,             0.00021235
                     88,                0.73183,                0.78666,                 1.0438,                0.93178,                0.93333,                0.98389,                0.73318,                0.89648,                0.79641,                 1.0087,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.8193,                0.88429,                 1.0556,                0.93178,                0.93333,                0.98389,                0.73318,                0.89648,                0.79641,                 1.0087,             0.00018406,             0.00018406,             0.00018406
                     90,                0.76566,                0.78082,                0.99788,                0.91134,                0.93333,                0.98389,                0.70667,                0.91365,                0.79936,                 1.0115,             0.00016991,             0.00016991,             0.00016991
                     91,                0.85476,                 1.0816,                 1.0441,                0.91134,                0.93333,                0.98389,                0.70667,                0.91365,                0.79936,                 1.0115,             0.00015576,             0.00015576,             0.00015576
                     92,                 0.7522,                 1.0014,                 1.0331,                0.94916,                0.97613,                  0.995,                0.72655,                0.91176,                0.80679,                  1.014,             0.00014161,             0.00014161,             0.00014161
                     93,                0.73979,                0.97199,                0.99319,                0.94916,                0.97613,                  0.995,                0.72655,                0.91176,                0.80679,                  1.014,             0.00012747,             0.00012747,             0.00012747
                     94,                0.75422,                0.94951,                0.98756,                0.91489,                0.93333,                0.98389,                0.72253,                0.90322,                0.81695,                 1.0189,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.7444,                0.93537,                 1.0373,                0.91489,                0.93333,                0.98389,                0.72253,                0.90322,                0.81695,                 1.0189,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.74237,                0.90538,                0.96858,                0.91656,                0.93333,                0.97595,                0.75622,                  0.895,                0.83876,                 1.0193,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.74002,                0.91356,                 1.0015,                0.91656,                0.93333,                0.97595,                0.75622,                  0.895,                0.83876,                 1.0193,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.70874,                0.87325,                 1.0122,                0.91889,                0.93333,                0.97595,                0.75621,                0.88118,                0.84153,                 1.0174,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.73635,                0.84645,                0.98887,                0.91889,                0.93333,                0.97595,                0.75621,                0.88118,                0.84153,                 1.0174,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.67688,                0.89068,                 1.0285,                0.92658,                0.93333,                0.97595,                 0.7616,                0.86066,                0.83823,                 1.0139,             2.8437e-05,             2.8437e-05,             2.8437e-05
